1412687.03 ,4931671.62 ,39.28 
1412688.45 ,4931670.66 ,39.36 
1412698.69 ,4931663.55 ,36.96 
1412699.26 ,4931661.37 ,37.15 
1412664.14 ,4931684.45 ,39.00 
1412667.15 ,4931682.37 ,39.73 
1412703.62 ,4931655.38 ,38.14 
1412672.55 ,4931676.74 ,40.85 
1412667.99 ,4931679.86 ,40.25 
1412655.75 ,4931688.30 ,37.39 
1412656.05 ,4931687.04 ,37.67 
1412657.49 ,4931686.06 ,37.93 
1412704.85 ,4931653.27 ,38.46 
1412679.34 ,4931667.98 ,41.42 
1412682.25 ,4931665.96 ,41.04 
1412695.45 ,4931656.84 ,38.80 
1412695.93 ,4931654.78 ,38.86 
1412694.53 ,4931655.73 ,38.93 
1412693.01 ,4931656.80 ,39.22 
1412690.05 ,4931658.83 ,39.29 
1412681.31 ,4931664.84 ,41.19 
1412679.77 ,4931665.89 ,41.34 
1412678.22 ,4931666.95 ,41.40 
1412627.72 ,4931700.75 ,34.90 
1412637.03 ,4931694.30 ,36.82 
1412661.06 ,4931677.69 ,40.23 
1412675.89 ,4931667.43 ,41.53 
1412692.02 ,4931656.29 ,39.25 
1412691.62 ,4931654.81 ,39.18 
1412610.77 ,4931709.51 ,32.98 
1412663.67 ,4931672.94 ,41.73 
1412676.69 ,4931661.02 ,43.52 
1412685.37 ,4931655.03 ,41.22 
1412672.61 ,4931662.11 ,44.14 
1412666.65 ,4931666.19 ,43.20 
1412617.68 ,4931698.94 ,35.25 
1412648.68 ,4931675.65 ,40.82 
1412644.53 ,4931677.52 ,40.43 
1412645.86 ,4931674.66 ,40.97 
1412596.42 ,4931708.56 ,33.16 
1412590.40 ,4931712.67 ,32.40 
1412661.43 ,4931658.18 ,45.23 
1412659.90 ,4931659.24 ,45.53 
1412656.95 ,4931661.26 ,45.39 
1412607.91 ,4931694.84 ,35.77 
1412606.50 ,4931695.82 ,35.84 
1412597.39 ,4931702.04 ,35.47 
1412658.76 ,4931658.97 ,45.43 
1412660.30 ,4931657.89 ,45.51 
1412655.82 ,4931659.16 ,45.41 
1412657.17 ,4931657.20 ,45.46 
1412658.72 ,4931656.14 ,45.41 
1412657.50 ,4931655.16 ,45.55 
1412656.11 ,4931656.12 ,45.53 
1412590.12 ,4931701.26 ,34.93 
1412574.52 ,4931711.93 ,32.20 
1412613.42 ,4931684.42 ,38.30 
1412649.56 ,4931659.55 ,45.55 
1412654.05 ,4931656.46 ,45.61 
1412606.18 ,4931687.32 ,38.36 
1412586.01 ,4931701.11 ,34.71 
1412575.13 ,4931707.82 ,32.67 
1412579.74 ,4931704.65 ,33.49 
1412584.36 ,4931701.45 ,34.65 
1412604.19 ,4931687.83 ,38.26 
1412607.34 ,4931685.66 ,38.28 
1412610.37 ,4931683.58 ,38.57 
1412616.52 ,4931679.35 ,40.09 
1412646.51 ,4931658.69 ,45.64 
1412646.44 ,4931656.91 ,45.66 
1412643.46 ,4931658.94 ,45.45 
1412603.57 ,4931686.21 ,38.39 
1412601.26 ,4931686.98 ,38.24 
1412639.30 ,4931658.96 ,45.49 
1412619.41 ,4931672.55 ,41.50 
1412600.92 ,4931685.21 ,38.16 
1412580.58 ,4931699.10 ,34.65 
1412572.02 ,4931704.21 ,33.36 
1412573.49 ,4931703.20 ,33.55 
1412578.09 ,4931700.02 ,34.49 
1412587.45 ,4931693.61 ,36.47 
1412591.89 ,4931690.55 ,36.41 
1412596.49 ,4931687.38 ,37.79 
1412597.92 ,4931686.41 ,37.82 
1412619.28 ,4931671.72 ,41.61 
1412620.89 ,4931670.61 ,42.03 
1412637.40 ,4931659.26 ,45.29 
1412595.26 ,4931686.23 ,37.68 
1412568.62 ,4931704.43 ,33.18 
1412565.53 ,4931706.55 ,32.88 
1412559.10 ,4931710.95 ,31.95 
1412575.06 ,4931699.32 ,34.56 
1412596.48 ,4931684.58 ,37.92 
1412598.09 ,4931683.47 ,38.17 
1412586.50 ,4931689.46 ,36.59 
1412572.48 ,4931699.05 ,34.54 
1412561.28 ,4931706.71 ,32.68 
1412558.15 ,4931708.84 ,32.25 
1412571.98 ,4931698.69 ,34.58 
1412631.37 ,4931657.83 ,45.28 
1412631.61 ,4931655.86 ,45.81 
1412558.70 ,4931705.71 ,32.18 
1412567.34 ,4931699.09 ,34.17 
1412595.05 ,4931680.03 ,39.24 
1412601.08 ,4931675.89 ,40.80 
1412602.52 ,4931674.91 ,40.97 
1412625.30 ,4931659.24 ,44.91 
1412638.73 ,4931650.00 ,47.50 
1412627.67 ,4931655.85 ,45.93 
1412612.20 ,4931666.43 ,42.84 
1412603.04 ,4931672.68 ,41.09 
1412600.02 ,4931674.74 ,40.81 
1412565.59 ,4931698.27 ,34.36 
1412548.73 ,4931709.17 ,31.89 
1412616.14 ,4931662.85 ,43.03 
1412626.86 ,4931655.47 ,45.93 
1412553.27 ,4931703.33 ,32.17 
1412561.23 ,4931697.86 ,34.80 
1412565.84 ,4931694.68 ,34.52 
1412607.10 ,4931666.34 ,42.57 
1412608.69 ,4931665.24 ,42.82 
1412610.09 ,4931664.30 ,42.63 
1412618.00 ,4931657.07 ,45.23 
1412605.45 ,4931665.64 ,42.05 
1412560.50 ,4931696.34 ,34.77 
1412550.74 ,4931703.03 ,32.06 
1412596.65 ,4931670.82 ,41.01 
1412605.74 ,4931664.59 ,42.13 
1412607.18 ,4931663.59 ,42.48 
1412610.20 ,4931661.54 ,42.75 
1412607.85 ,4931661.30 ,42.43 
1412606.25 ,4931662.39 ,42.21 
1412595.58 ,4931669.68 ,41.06 
1412572.19 ,4931685.65 ,36.80 
1412558.44 ,4931694.36 ,34.76 
1412593.78 ,4931670.08 ,40.98 
1412608.90 ,4931659.70 ,42.71 
1412606.89 ,4931659.25 ,42.35 
1412605.32 ,4931660.32 ,42.34 
1412600.89 ,4931663.35 ,42.11 
1412566.80 ,4931686.64 ,36.94 
1412555.73 ,4931694.20 ,34.74 
1412545.06 ,4931700.87 ,32.99 
1412555.66 ,4931693.59 ,34.82 
1412568.10 ,4931685.03 ,36.75 
1412571.11 ,4931682.97 ,36.64 
1412597.12 ,4931665.10 ,42.03 
1412606.11 ,4931658.91 ,42.44 
1412598.48 ,4931662.32 ,42.05 
1412568.98 ,4931682.47 ,36.90 
1412566.12 ,4931684.43 ,36.95 
1412553.30 ,4931693.18 ,34.91 
1412551.84 ,4931694.18 ,34.79 
1412539.09 ,4931702.29 ,32.34 
1412546.75 ,4931697.01 ,33.79 
1412565.21 ,4931684.36 ,36.97 
1412597.35 ,4931662.28 ,41.87 
1412600.36 ,4931660.20 ,42.17 
1412603.20 ,4931658.25 ,42.29 
1412614.13 ,4931650.75 ,46.71 
1412600.96 ,4931657.98 ,42.09 
